Delq1338_wt;Del997_wt;wt_mf;del1338_mf;del997_mf
mmu-miR-144-3p;mmu-miR-451a;mmu-miR-466i-5p;mmu-miR-466i-5p;mmu-miR-466i-5p
mmu-miR-144-5p;mmu-let-7k;mmu-miR-574-5p;mmu-miR-574-5p;mmu-miR-574-5p
mmu-miR-451a;mmu-miR-122-5p;mmu-miR-669c-5p;mmu-miR-669c-5p;mmu-miR-669c-5p
mmu-let-7c-1-3p;mmu-miR-6240;mmu-miR-1958;mmu-miR-5709-5p;mmu-miR-1938
mmu-miR-486b-5p;mmu-miR-486b-5p;mmu-miR-467c-3p;mmu-let-7c-1-3p;mmu-let-7k
mmu-miR-486a-5p;mmu-miR-29b-1-5p;;mmu-miR-23b-5p;mmu-miR-214-3p
mmu-miR-455-5p;mmu-miR-486a-5p;;mmu-miR-199a-3p;mmu-miR-212-3p
mmu-miR-486a-3p;;;mmu-miR-199b-3p;mmu-miR-7b-5p
mmu-miR-99a-5p;;;mmu-miR-199b-5p;mmu-miR-125b-1-3p
;;;;mmu-miR-382-5p
;;;;mmu-miR-145a-5p
;;;;mmu-miR-143-3p